date,location,people_fully_vaccinated_by State,daily_vaccinations_by state
1/12/2021,Alabama,7270,
1/13/2021,Alabama,9245,5906
1/14/2021,Alabama,,7083
1/15/2021,Alabama,13488,7478
1/16/2021,Alabama,,7498
1/17/2021,Alabama,,7509
1/18/2021,Alabama,,7517
1/19/2021,Alabama,16346,7523
1/20/2021,Alabama,17956,7880
1/21/2021,Alabama,21345,10517
1/22/2021,Alabama,24840,14107
1/23/2021,Alabama,27422,16202
1/24/2021,Alabama,29736,18294
1/25/2021,Alabama,29978,18196
1/26/2021,Alabama,30933,17738
1/27/2021,Alabama,33595,18178
1/28/2021,Alabama,37431,16153
1/29/2021,Alabama,44073,14514
1/30/2021,Alabama,53742,17271
1/31/2021,Alabama,55331,15748
2/1/2021,Alabama,56308,15381
2/2/2021,Alabama,58825,16703
2/3/2021,Alabama,62990,17414
2/4/2021,Alabama,69155,18491
2/5/2021,Alabama,76603,18526
2/6/2021,Alabama,84278,16105
2/7/2021,Alabama,86141,15480
2/8/2021,Alabama,88453,15622
2/9/2021,Alabama,95033,17012
2/10/2021,Alabama,102520,18209
2/11/2021,Alabama,111036,19258
2/12/2021,Alabama,122019,20074
2/13/2021,Alabama,133029,20855
2/14/2021,Alabama,137032,21417
2/15/2021,Alabama,,22405
2/16/2021,Alabama,149288,20816
2/17/2021,Alabama,154341,19174
2/18/2021,Alabama,165104,18400
2/19/2021,Alabama,192304,24002
2/20/2021,Alabama,214512,25111
2/21/2021,Alabama,219639,25194
2/22/2021,Alabama,228101,24164
2/23/2021,Alabama,239425,25489
2/24/2021,Alabama,253615,27098
2/25/2021,Alabama,268465,27531
2/26/2021,Alabama,286095,22104
2/27/2021,Alabama,307868,22022
2/28/2021,Alabama,313290,21984
3/1/2021,Alabama,316073,22111
3/2/2021,Alabama,330046,22436
3/3/2021,Alabama,346841,22904
3/4/2021,Alabama,365456,23916
3/5/2021,Alabama,383078,24388
3/6/2021,Alabama,402061,24087
3/7/2021,Alabama,406723,23947
3/8/2021,Alabama,409937,24040
3/9/2021,Alabama,420083,24118
3/10/2021,Alabama,435018,24827
3/11/2021,Alabama,452746,25376
3/12/2021,Alabama,472325,26375
3/13/2021,Alabama,492755,26935
3/14/2021,Alabama,497653,26926
3/15/2021,Alabama,501344,27106
3/16/2021,Alabama,511869,27331
3/17/2021,Alabama,523649,27167
3/18/2021,Alabama,533375,25752
3/19/2021,Alabama,547257,25356
3/20/2021,Alabama,561254,24649
3/21/2021,Alabama,566632,24865
3/22/2021,Alabama,569127,24693
3/23/2021,Alabama,579598,25307
3/24/2021,Alabama,589979,25490
3/25/2021,Alabama,600666,27004
3/26/2021,Alabama,611694,26387
3/27/2021,Alabama,623385,26439
3/28/2021,Alabama,628500,26634
3/29/2021,Alabama,631388,26759
3/30/2021,Alabama,643450,26885
3/31/2021,Alabama,656899,26617
4/1/2021,Alabama,673773,27555
4/2/2021,Alabama,691082,28865
4/3/2021,Alabama,705197,28769
4/4/2021,Alabama,709849,28533
4/5/2021,Alabama,711596,28325
4/6/2021,Alabama,725270,28468
4/7/2021,Alabama,744961,29498
4/8/2021,Alabama,764450,29195
4/9/2021,Alabama,788325,29696
4/10/2021,Alabama,811323,31155
4/11/2021,Alabama,819550,31967
4/12/2021,Alabama,824052,32519
4/13/2021,Alabama,844353,32914
1/12/2021,Alaska,5400,
1/13/2021,Alaska,6166,2842
1/14/2021,Alaska,,3379
1/15/2021,Alaska,9406,4400
1/16/2021,Alaska,,4381
